"dataset","nlayers","layerForm","valAccuracy","learningrate","nhidden","testAccuracy"
"heart-va",3,"rect",0.400000011920929,0.01,1024,0.259999990463257
"heart-va",2,"cone",0.400000011920929,0.1,512,0.219999998807907
"heart-va",16,"rect",0.383333349227905,0.01,256,0.280000001192093
"heart-va",8,"rect",0.358333344757557,0.1,256,0.319999992847443
"heart-va",4,"rect",0.350000008940697,0.01,1024,0.419999957084656
"heart-va",16,"rect",0.350000005960464,0.1,512,0.319999992847443
"heart-va",16,"cone",0.341666680574417,0.01,1024,0.219999998807907
"heart-va",32,"cone",0.333333343267441,0.01,512,0.239999979734421
"heart-va",32,"rect",0.325000008940697,0.01,1024,0.319999992847443
"heart-va",4,"cone",0.325000008940697,0.01,256,0.379999995231628
"heart-va",8,"rect",0.325000008940697,0.01,256,0.359999984502792
"heart-va",16,"rect",0.316666677594185,0.1,1024,0.379999995231628
"heart-va",8,"cone",0.316666674613953,1,1024,0.279999971389771
"heart-va",8,"cone",0.316666670143604,1,512,0.379999995231628
"heart-va",3,"rect",0.308333337306976,1,512,0.199999988079071
"heart-va",8,"cone",0.300000007450581,0.1,1024,0.259999990463257
"heart-va",8,"cone",0.291666673123837,0.01,512,0.439999997615814
"heart-va",4,"rect",0.283333341032267,1,256,0.199999988079071
"heart-va",8,"cone",0.283333340287209,1,256,0.319999992847443
"heart-va",16,"cone",0.283333337306976,1,256,0.319999992847443
"heart-va",16,"rect",0.275000005960465,1,1024,0.319999992847443
"heart-va",4,"cone",0.275000005960464,0.01,1024,0.239999994635582
"heart-va",16,"rect",0.266666673123837,0.01,1024,0.179999992251396
"heart-va",32,"rect",0.26666667163372,0.01,512,0.319999992847443
"heart-va",16,"rect",0.26666667163372,0.01,512,0.299999982118607
"heart-va",32,"rect",0.266666668653488,0.1,1024,0.319999992847443
"heart-va",32,"rect",0.266666668653488,0.1,256,0.239999979734421
"heart-va",32,"rect",0.266666668653488,1,512,0.239999979734421
"heart-va",32,"rect",0.266666668653488,1,256,0.239999979734421
"heart-va",4,"rect",0.266666668653488,1,512,0.239999979734421
"heart-va",8,"cone",0.258333342522383,0.1,256,0.239999994635582
"heart-va",3,"rect",0.258333341777325,1,1024,0.319999992847443
"heart-va",16,"rect",0.258333336561918,1,512,0.280000001192093
"heart-va",16,"cone",0.25833333581686,0.1,512,0.319999992847443
"heart-va",2,"rect",0.258333334326744,1,1024,0.239999979734421
"heart-va",16,"rect",0.250000004470348,0.1,256,0.239999994635582
"heart-va",32,"cone",0.25,0.01,1024,0.319999992847443
"heart-va",32,"cone",0.25,0.01,256,0.239999979734421
"heart-va",32,"rect",0.25,0.01,256,0.239999979734421
"heart-va",32,"cone",0.25,0.1,1024,0.239999979734421
"heart-va",32,"cone",0.25,0.1,512,0.319999992847443
"heart-va",32,"cone",0.25,0.1,256,0.319999992847443
"heart-va",32,"cone",0.25,1,1024,0.319999992847443
"heart-va",32,"cone",0.25,1,512,0.319999992847443
"heart-va",32,"cone",0.25,1,256,0.319999992847443
"heart-va",16,"cone",0.25,0.1,1024,0.319999992847443
"heart-va",16,"cone",0.25,0.1,256,0.319999992847443
"heart-va",16,"cone",0.25,1,1024,0.239999979734421
"heart-va",16,"cone",0.25,1,512,0.319999992847443
"heart-va",8,"rect",0.25,0.01,1024,0.319999992847443
"heart-va",8,"rect",0.25,1,1024,0.239999979734421
"heart-va",2,"rect",0.25,1,512,0.239999979734421
"heart-va",8,"rect",0.23333333581686,1,256,0.239999979734421
"heart-va",16,"cone",0.23333333581686,0.01,512,0.219999998807907
"heart-va",32,"rect",0.233333333581686,0.1,512,0.319999992847443
"heart-va",4,"rect",0.233333333581686,1,1024,0.319999992847443
"heart-va",32,"rect",0.225000002235174,1,1024,0.199999988079071
"heart-va",8,"rect",0.216666673123837,1,512,0.319999992847443
"heart-va",8,"cone",0.21666666790843,0.01,1024,0.239999979734421
"heart-va",2,"rect",0.20833333581686,1,256,0.140000000596046
"heart-va",4,"cone",0.200000005960464,1,1024,0.339999973773956
"heart-va",3,"rect",0.20000000372529,1,256,0.200000002980232
"heart-va",16,"rect",0.200000002980232,1,256,0.239999979734421
"heart-va",3,"rect",0.175000004470348,0.01,512,0.299999982118607
