"dataset","layerForm","testAccuracy","nlayers","nhidden","valAccuracy","learningrate"
"statlog-shuttle","cone",0.995862722396851,8,1024,0.994979500770569,1
"statlog-shuttle","cone",0.995724678039551,16,1024,0.984331172704697,0.1
"statlog-shuttle","cone",0.992207527160645,16,256,0.977104705572128,0.1
"statlog-shuttle","rect",0.939862549304962,16,512,0.947951197624207,0.1
"statlog-shuttle","cone",0.870759069919586,8,256,0.864925509691238,1
"statlog-shuttle","cone",0.791586458683014,32,1024,0.821048903465271,0.01
"statlog-shuttle","cone",0.791586458683014,16,512,0.819450551271439,0.1
"statlog-shuttle","cone",0.813517570495605,32,512,0.804569864273071,0.01
"statlog-shuttle","cone",0.791586458683014,16,1024,0.785929584503174,1
"statlog-shuttle","rect",0.791586458683014,16,1024,0.783543264865875,0.1
"statlog-shuttle","rect",0.791586518287659,32,512,0.783430743217468,0.1
"statlog-shuttle","rect",0.791586458683014,4,512,0.783430737257004,1
"statlog-shuttle","rect",0.791586458683014,4,1024,0.783430731296539,1
"statlog-shuttle","rect",0.791586458683014,8,1024,0.783430725336075,1
"statlog-shuttle","cone",0.791586458683014,16,256,0.78343071937561,1
"statlog-shuttle","cone",0.791586518287659,32,256,0.78343071937561,1
"statlog-shuttle","cone",0.791586458683014,32,256,0.78343071937561,0.1
"statlog-shuttle","rect",0.791586458683014,32,512,0.78343071937561,1
"statlog-shuttle","rect",0.791586458683014,2,1024,0.78343071937561,1
"statlog-shuttle","rect",0.791586399078369,32,256,0.783430713415146,0.1
"statlog-shuttle","cone",0.791586458683014,3,1024,0.783430713415146,1
"statlog-shuttle","rect",0.791586518287659,3,512,0.783430713415146,1
"statlog-shuttle","rect",0.791586458683014,2,256,0.783430713415146,1
"statlog-shuttle","cone",0.791586458683014,32,256,0.783430713415146,0.01
"statlog-shuttle","cone",0.791586399078369,32,1024,0.783430707454681,1
"statlog-shuttle","rect",0.791586399078369,32,256,0.783430707454681,0.01
"statlog-shuttle","rect",0.791586458683014,32,1024,0.783430707454681,0.1
"statlog-shuttle","rect",0.791586399078369,32,256,0.783430707454681,1
"statlog-shuttle","rect",0.791586458683014,8,512,0.783430707454681,1
"statlog-shuttle","rect",0.791586399078369,4,256,0.783430707454681,1
"statlog-shuttle","rect",0.791586458683014,2,512,0.783430707454681,1
"statlog-shuttle","cone",0.791586518287659,32,512,0.783430701494217,0.1
"statlog-shuttle","cone",0.791586458683014,32,512,0.783430701494217,1
"statlog-shuttle","cone",0.791586458683014,16,512,0.783430701494217,1
"statlog-shuttle","rect",0.791586518287659,16,512,0.783430701494217,1
"statlog-shuttle","rect",0.791586458683014,32,1024,0.783430695533752,0.01
"statlog-shuttle","cone",0.791586458683014,32,1024,0.783430695533752,0.1
"statlog-shuttle","rect",0.791586399078369,16,1024,0.783430695533752,1
"statlog-shuttle","rect",0.791586458683014,3,256,0.721026426553726,1
"statlog-shuttle","rect",0.148620709776878,8,256,0.721026414632797,1
"statlog-shuttle","rect",0.791586458683014,32,1024,0.721026402711868,1
"statlog-shuttle","rect",0.791586518287659,3,1024,0.721026402711868,1
"statlog-shuttle","rect",0.791586458683014,16,256,0.705177681468194,1
