dataset,start_time,stop_time,time
hill-valley,1589531899.9861004,1589531907.6796637,7.693563222885132
horse-colic,1589531907.6886647,1589531910.1863515,2.4976868629455566
ilpd-indian-liver,1589531910.195351,1589531913.9112763,3.715925455093384
image-segmentation,1589531913.9222775,1589531925.533946,11.611668586730957
ionosphere,1589531925.54311,1589531931.652079,6.108969211578369
iris,1589531931.6650817,1589531933.3111873,1.6461055278778076
led-display,1589531933.3201873,1589531938.4131513,5.092963933944702
lenses,1589531938.423152,1589531941.1976717,2.774519681930542
letter,1589531941.2076714,1589532452.94891,511.7412385940552
libras,1589532452.9579096,1589532455.8005545,2.8426449298858643
low-res-spect,1589532455.810552,1589532459.0286975,3.2181456089019775
lung-cancer,1589532459.038696,1589532460.4739134,1.4352173805236816
lymphography,1589532460.483909,1589532463.6719115,3.188002586364746
magic,1589532463.679911,1589532541.4909594,77.81104850769043
mammographic,1589532541.4999583,1589532548.1040668,6.604108572006226
miniboone,1589532548.1140654,1589533150.3582125,602.2441470623016
molec-biol-promoter,1589533150.3682132,1589533151.852912,1.48469877243042
molec-biol-splice,1589533151.8638985,1589533177.0143383,25.150439739227295
monks-1,1589533177.0243387,1589533184.7356057,7.711266994476318
monks-2,1589533184.7456105,1589533188.330056,3.5844454765319824
monks-3,1589533188.3410573,1589533191.6562872,3.315229892730713
mushroom,1589533191.667289,1589533286.2358067,94.56851768493652
musk-1,1589533286.24581,1589533292.0973952,5.851585149765015
musk-2,1589533292.1063957,1589533351.6478934,59.54149770736694
nursery,1589533351.6568694,1589533423.7342527,72.07738327980042
oocytes_merluccius_nucleus_4d,1589533423.7432525,1589533429.517136,5.773883581161499
oocytes_merluccius_states_2f,1589533429.5271385,1589533437.0313687,7.504230260848999
oocytes_trisopterus_nucleus_2f,1589533437.0413685,1589533441.8991156,4.8577470779418945
oocytes_trisopterus_states_5b,1589533441.9081194,1589533446.9210835,5.0129640102386475
optical,1589533446.9300818,1589533475.7486815,28.818599700927734
ozone,1589533475.7576833,1589533487.6658096,11.90812635421753
page-blocks,1589533487.67381,1589533515.2373602,27.563550233840942
parkinsons,1589533515.24636,1589533521.5372362,6.290876150131226
pendigits,1589533521.5462365,1589533641.3735697,119.8273332118988
pima,1589533641.3825681,1589533645.576886,4.194317817687988
pittsburg-bridges-MATERIAL,1589533645.5868886,1589533651.0641723,5.477283716201782
pittsburg-bridges-REL-L,1589533651.0731728,1589533654.0967677,3.023594856262207
pittsburg-bridges-SPAN,1589533654.1067681,1589533656.0392416,1.9324734210968018
pittsburg-bridges-T-OR-D,1589533656.0482419,1589533659.5754094,3.527167558670044
pittsburg-bridges-TYPE,1589533659.5844111,1589533660.9800584,1.3956472873687744
planning,1589533660.9890578,1589533665.32582,4.336762189865112
plant-margin,1589533665.3348217,1589533673.2529247,7.918102979660034
plant-shape,1589533673.2629251,1589533700.1688256,26.905900478363037
plant-texture,1589533700.177825,1589533717.2356012,17.05777621269226
post-operative,1589533717.243601,1589533719.1843958,1.9407947063446045
primary-tumor,1589533719.192397,1589533721.074549,1.8821518421173096
ringnorm,1589533721.0845492,1589533837.9863644,116.90181517601013
seeds,1589533837.9963677,1589533839.570398,1.5740303993225098
semeion,1589533839.5794008,1589533849.6898265,10.1104257106781
soybean,1589533849.698827,1589533854.7401896,5.041362524032593
spambase,1589533854.750187,1589533875.9477925,21.1976056098938
spect,1589533875.9567907,1589533880.400242,4.443451404571533
spectf,1589533880.4132426,1589533887.853507,7.440264463424683
statlog-australian-credit,1589533887.8635063,1589533892.8702261,5.0067198276519775
statlog-german-credit,1589533892.8812273,1589533899.2246015,6.343374252319336
statlog-heart,1589533899.2345994,1589533901.9618068,2.7272074222564697
statlog-image,1589533901.971803,1589533920.159742,18.187939167022705
statlog-landsat,1589533920.1687422,1589534015.5259173,95.35717511177063
statlog-shuttle,1589534015.5349152,1589534223.133898,207.59898281097412
statlog-vehicle,1589534223.1428947,1589534231.6065438,8.463649034500122
steel-plates,1589534231.6155462,1589534260.9580019,29.342455625534058
synthetic-control,1589534260.9680035,1589534264.9710507,4.003047227859497
teaching,1589534264.98105,1589534271.5403578,6.559307813644409
thyroid,1589534271.5493577,1589534303.6161487,32.06679105758667
tic-tac-toe,1589534303.6241477,1589534314.2771838,10.653036117553711
titanic,1589534314.2871857,1589534328.775601,14.488415241241455
trains,1589535852.4437225,1589535854.93981,2.4960875511169434
twonorm,1589535854.9508152,1589535939.8938935,84.94307827949524
vertebral-column-2clases,1589535939.902894,1589535942.3768983,2.4740042686462402
vertebral-column-3clases,1589535942.3868961,1589535947.2084844,4.8215882778167725
wall-following,1589535947.218481,1589535970.942436,23.723954916000366
waveform,1589535970.9524336,1589535998.3884933,27.436059713363647
waveform-noise,1589535998.396495,1589536019.6849418,21.28844666481018
wine,1589536019.6929996,1589536021.5300152,1.8370156288146973
wine-quality-red,1589536021.539015,1589536032.667555,11.1285400390625
wine-quality-white,1589536032.676555,1589536158.649824,125.97326898574829
yeast,1589536158.658827,1589536166.8272593,8.168432235717773
zoo,1589536166.8362694,1589536168.215094,1.3788247108459473
